Title,Author,Publication Year,Author's Sex
Rosy,"Molesworth, Mary Louisa",1882,F
"""Us,"" An Old Fashioned Story","Molesworth, Mary Louisa",1886,F
The Rectory Children,"Molesworth, Mary Louisa",1889,F
Grandmother Dear: A Book for Boys and Girls,"Molesworth, Mary Louisa",1878,F
A Christmas Posy,"Molesworth, Mary Louisa",1888,F
Robin Redbreast: A Story for Girls,"Molesworth, Mary Louisa",1890,F
Hoodie,"Molesworth, Mary Louisa",1897,F
My New Home,"Molesworth, Mary Louisa",1894,F
Peterkin,"Molesworth, Mary Louisa",1902,F
Great Uncle Hoot-Toot,"Molesworth, Mary Louisa",1889,F
The Adventures of Herr Baby,"Molesworth, Mary Louisa",1881,F
The Boys and I: A Child's Story for Children,"Molesworth, Mary Louisa",1883,F
Miss Mouse and Her Boys,"Molesworth, Mary Louisa",1897,F
The Girls and I: A Veracious History,"Molesworth, Mary Louisa",1892,F
"""Carrots:"" Just a Little Boy","Molesworth, Mary Louisa",1876,F
A Christmas Child: A Sketch of a Boy-Life,"Molesworth, Mary Louisa",1880,F
Little Miss Peggy: Only a Nursery Story,"Molesworth, Mary Louisa",1887,F
The Palace in the Garden,"Molesworth, Mary Louisa",1887,F
"The Green Casket, and other stories","Molesworth, Mary Louisa",1890,F
"The Man with the Pan-Pipes, and Other Stories","Molesworth, Mary Louisa",1892,F
Nurse Heatherdale's Story,"Molesworth, Mary Louisa",1891,F
Christmas-Tree Land,"Molesworth, Mary Louisa",1886,F
The Carved Lions,"Molesworth, Mary Louisa",1895,F
The House That Grew,"Molesworth, Mary Louisa",1900,F
Two Little Waifs,"Molesworth, Mary Louisa",1883,F
The Magic Nuts,"Molesworth, Mary Louisa",1898,F
The Oriel Window,"Molesworth, Mary Louisa",1896,F
"The Old Pincushion; or, Aunt Clotilda's Guests","Molesworth, Mary Louisa",1889,F
The Wood-Pigeons and Mary,"Molesworth, Mary Louisa",1901,F
The Third Miss St Quentin,"Molesworth, Mary Louisa",1888,F
Tell Me a Story,"Molesworth, Mary Louisa",1875,F
Sweet Content,"Molesworth, Mary Louisa",1891,F
Silverthorns,"Molesworth, Mary Louisa",1887,F
Blanche: A Story for Girls,"Molesworth, Mary Louisa",1893,F
The Children of the Castle,"Molesworth, Mary Louisa",1890,F
An Enchanted Garden: Fairy Stories,"Molesworth, Mary Louisa",1892,F
Jasper,"Molesworth, Mary Louisa",1906,F
Mary: A Nursery Story for Very Little Children,"Molesworth, Mary Louisa",1893,F
The Little Old Portrait,"Molesworth, Mary Louisa",1884,F
"That Girl in Black; and, Bronzie","Molesworth, Mary Louisa",1889,F
Philippa,"Molesworth, Mary Louisa",1896,F
The Tapestry Room: A Child's Romance,"Molesworth, Mary Louisa",1879,F
The Wouldbegoods: Being the Further Adventures of the Treasure Seekers,"Nesbit, Edith",1901,F
The Phoenix and the Carpet,"Nesbit, Edith",1904,F
The Story of the Amulet,"Nesbit, Edith",1906,F
The Enchanted Castle,"Nesbit, Edith",1907,F
The Book of Dragons,"Nesbit, Edith",1901,F
"New Treasure Seekers; Or, The Bastable Children in Search of a Fortune","Nesbit, Edith",1904,F
Pussy and Doggy Tales,"Nesbit, Edith",1899,F
The Magic World,"Nesbit, Edith",1912,F
Wet Magic,"Nesbit, Edith",1913,F
"The Wonderful Garden; or, The Three Cs","Nesbit, Edith",1911,F
Prentice Hugh,"Peard, Frances Mary",1887,F
The Tale of Mrs. Tiggy-Winkle,"Potter, Beatrix",1905,F
The Tale of the Flopsy Bunnies,"Potter, Beatrix",1909,F
The Tale of Peter Rabbit,"Potter, Beatrix",1902,F
The Tale of Benjamin Bunny,"Potter, Beatrix",1904,F
The Tale of Timmy Tiptoes,"Potter, Beatrix",1911,F
The Tale of Jemima Puddle-Duck,"Potter, Beatrix",1908,F
The Tale of Tom Kitten,"Potter, Beatrix",1907,F
The Story of Miss Moppet,"Potter, Beatrix",1906,F
The Tailor of Gloucester,"Potter, Beatrix",1903,F
The Tale of Squirrel Nutkin,"Potter, Beatrix",1903,F
The Tale of Ginger and Pickles,"Potter, Beatrix",1909,F
The Tale of Mr. Jeremy Fisher,"Potter, Beatrix",1906,F
The Tale of the Pie and the Patty Pan,"Potter, Beatrix",1905,F
"The Tale of Samuel Whiskers; Or, The Roly-Poly Pudding","Potter, Beatrix",1908,F
The Tale of Mrs. Tittlemouse,"Potter, Beatrix",1910,F
The Tale of Mr. Tod,"Potter, Beatrix",1912,F
The Tale of Two Bad Mice,"Potter, Beatrix",1904,F
The Story of a Fierce Bad Rabbit,"Potter, Beatrix",1906,F
"Tom, Dick and Harry","Reed, Talbot Baines",1894,M
Kilgorman: A Story of Ireland in 1798,"Reed, Talbot Baines",1895,M
The Adventures of a Three-Guinea Watch,"Reed, Talbot Baines",1883,M
The Cock-House at Fellsgarth,"Reed, Talbot Baines",1893,M
"Roger Ingleton, Minor","Reed, Talbot Baines",1891,M
Shanty the Blacksmith; a Tale of Other Times,"Sherwood, Mary Martha",1835,F
"The Young Lord, and Other Tales; to which is added Victorine Durocher","Sherwood, Mary Martha",1850,F
Catriona,"Stevenson, Robert Louis",1893,M
Alone in London,"Stretton, Hesba",1869,F
Little Meg's Children,"Stretton, Hesba",1868,F
"Jessica's First Prayer; and, Jessica's Mother","Stretton, Hesba",1867,F
The Pigeon Pie,"Yonge, Charlotte Mary",1860,F
The Little Duke: Richard the Fearless,"Yonge, Charlotte Mary",1854,F
Countess Kate,"Yonge, Charlotte Mary",1860,F
The Stokesley Secret,"Yonge, Charlotte Mary",1861,F
Little Lucy's Wonderful Globe,"Yonge, Charlotte Mary",1871,F
The Heir of Redclyffe,"Yonge, Charlotte Mary",1853,F
The Lances of Lynwood,"Yonge, Charlotte Mary",1855,F
"The Daisy Chain, or Aspirations","Yonge, Charlotte Mary",1856,F
The Prince and the Page: A Story of the Last Crusade,"Yonge, Charlotte Mary",1866,F
